period start,symbol,price,change %,min,max,30d avg
2020-12-20T00:00:00+00:00,CAH,$52.64,1.89%,$45.44,$60.33,$51.30                                     
2020-12-20T00:00:00+00:00,MGM,$41.64,36.61%,$28.35,$50.37,$43.55                                    
2020-12-20T00:00:00+00:00,GWW,$495.00,21.99%,$359.06,$525.39,$504.27                                
2020-12-20T00:00:00+00:00,GPC,$130.39,37.56%,$91.40,$140.34,$136.12                                 
2020-12-20T00:00:00+00:00,ADP,$199.27,14.40%,$158.03,$248.01,$232.17                                
2020-12-20T00:00:00+00:00,CPB,$44.23,-4.68%,$39.58,$51.01,$44.06                                    
2020-12-20T00:00:00+00:00,ADM,$75.93,57.52%,$47.58,$75.93,$68.44                                    
2020-12-20T00:00:00+00:00,URI,$317.64,38.38%,$226.43,$392.79,$326.02                                
2020-12-20T00:00:00+00:00,PM,$103.51,31.31%,$75.11,$103.51,$97.52                                   
2020-12-20T00:00:00+00:00,AEP,$90.13,13.69%,$72.92,$90.98,$88.90                                    
2020-12-20T00:00:00+00:00,HSY,$196.81,34.17%,$142.23,$200.35,$194.03                                
2020-12-20T00:00:00+00:00,RCL,$74.55,3.80%,$64.27,$96.98,$78.74                                     
2020-12-20T00:00:00+00:00,DGX,$134.86,14.16%,$112.57,$172.26,$155.56                                
2020-12-20T00:00:00+00:00,CCL,$18.90,-10.26%,$16.38,$31.31,$20.70                                   
2020-12-20T00:00:00+00:00,CFG,$51.71,54.26%,$33.02,$56.35,$50.46                                    
2020-12-20T00:00:00+00:00,JWN,$21.84,-27.03%,$19.60,$45.79,$22.13                                   
2020-12-20T00:00:00+00:00,IDXX,$489.05,-0.13%,$465.18,$705.76,$576.84                               
2020-12-20T00:00:00+00:00,PKI,$169.43,20.76%,$120.14,$200.98,$184.02                                
2020-12-20T00:00:00+00:00,UHS,$129.82,-3.86%,$116.39,$160.15,$129.99                                
2020-12-20T00:00:00+00:00,ILMN,$331.96,-8.46%,$331.78,$524.84,$377.98                               
2020-12-20T00:00:00+00:00,DAL,$38.27,-4.66%,$33.53,$51.65,$39.13                                    
2020-12-20T00:00:00+00:00,FFIV,$199.51,14.47%,$174.29,$247.78,$232.63                               
2020-12-20T00:00:00+00:00,NTAP,$86.37,38.03%,$59.66,$95.48,$90.52                                   
2020-12-20T00:00:00+00:00,FLT,$231.21,-14.95%,$200.83,$293.44,$229.74                               
2020-12-20T00:00:00+00:00,ROST,$95.77,-17.20%,$94.76,$131.98,$105.85                                
2020-12-20T00:00:00+00:00,VNO,$40.28,16.97%,$33.57,$49.05,$42.86                                    
2020-12-20T00:00:00+00:00,ATVI,$79.14,-10.46%,$57.28,$103.31,$68.92                                 
2020-12-20T00:00:00+00:00,GOOG,$2665.79,53.26%,$1723.50,$3014.18,$2802.30                           
2020-12-20T00:00:00+00:00,RTX,$90.32,32.78%,$63.95,$92.33,$87.58                                    
2020-12-20T00:00:00+00:00,ARE,$189.65,11.89%,$154.31,$223.16,$210.35                                
2020-12-20T00:00:00+00:00,BA,$190.57,-13.11%,$188.19,$269.19,$206.62                                
2020-12-20T00:00:00+00:00,CINF,$117.43,42.80%,$81.89,$125.49,$115.54                                
2020-12-20T00:00:00+00:00,WU,$18.84,-10.80%,$15.62,$25.52,$18.19                                    
2020-12-20T00:00:00+00:00,QRVO,$129.46,-19.64%,$129.46,$199.54,$148.86                              
2020-12-20T00:00:00+00:00,RJF,$104.13,69.01%,$60.94,$109.57,$102.13                                 
2020-12-20T00:00:00+00:00,COST,$492.43,35.95%,$309.67,$567.77,$530.85                               
2020-12-20T00:00:00+00:00,FOXA,$40.10,46.40%,$26.95,$43.89,$38.16                                   
2020-12-20T00:00:00+00:00,DISCK,$26.56,10.57%,$21.68,$66.00,$25.32                                  
2020-12-20T00:00:00+00:00,CL,$83.13,0.21%,$72.79,$84.88,$83.15                                      
2020-12-20T00:00:00+00:00,J,$128.11,20.88%,$100.32,$148.45,$134.63                                  
2020-12-20T00:00:00+00:00,TSCO,$214.84,46.08%,$138.21,$238.60,$226.04                               
2020-12-20T00:00:00+00:00,PFE,$54.33,52.18%,$32.33,$60.79,$56.03                                    
2020-12-20T00:00:00+00:00,CVX,$130.68,59.75%,$80.16,$132.69,$122.72                                 
2020-12-20T00:00:00+00:00,KMX,$110.02,9.52%,$91.00,$154.85,$121.71                                  
2020-12-20T00:00:00+00:00,APH,$77.12,20.29%,$59.51,$87.94,$82.54                                    
2020-12-20T00:00:00+00:00,EA,$131.92,-5.98%,$120.07,$148.23,$132.47                                 
2020-12-20T00:00:00+00:00,A,$137.02,17.16%,$114.37,$178.82,$148.50                                  
2020-12-20T00:00:00+00:00,SCHW,$88.96,73.72%,$51.00,$95.53,$88.13                                   
2020-12-20T00:00:00+00:00,NWSA,$21.76,24.33%,$17.49,$27.51,$22.09                                   
2020-12-20T00:00:00+00:00,ADI,$158.63,13.10%,$140.25,$188.08,$169.81                                
2020-12-20T00:00:00+00:00,COF,$142.59,52.23%,$93.37,$177.05,$149.38                                 
2020-12-20T00:00:00+00:00,LUV,$42.93,-6.27%,$39.36,$64.10,$43.20                                    
