#datatype measurement,tag,tag,tag,tag,tag,double,dateTime:number
m,host,Machine,SensorId,SensorCarrier,SensorValid,TemperatureDecimal,time
temperature,spongebob,spongebob,0,cargo,true,72.0,1637151845595
temperature,spongebob,spongebob,1,cargo,true,65.0,1637151845595
temperature,spongebob,spongebob,2,cargo,true,49.0,1637151845595
temperature,spongebob,spongebob,3,cargo,true,66.0,1637151845595
temperature,spongebob,spongebob,0,cargo,true,70.0,1637151901451
temperature,spongebob,spongebob,1,cargo,true,66.0,1637151901451
temperature,spongebob,spongebob,2,cargo,true,49.0,1637151901451
temperature,spongebob,spongebob,3,cargo,true,65.0,1637151901451
temperature,spongebob,spongebob,0,cargo,true,72.0,1637152201943
temperature,spongebob,spongebob,1,cargo,true,66.0,1637152201943
temperature,spongebob,spongebob,2,cargo,true,49.0,1637152201943
temperature,spongebob,spongebob,3,cargo,true,70.0,1637152201943
temperature,spongebob,spongebob,0,cargo,true,68.0,1637152501445
temperature,spongebob,spongebob,1,cargo,true,63.0,1637152501445
temperature,spongebob,spongebob,2,cargo,true,49.0,1637152501445
temperature,spongebob,spongebob,3,cargo,true,65.0,1637152501445
temperature,spongebob,spongebob,0,cargo,true,69.0,1637152801933
temperature,spongebob,spongebob,1,cargo,true,65.0,1637152801933
temperature,spongebob,spongebob,2,cargo,true,48.0,1637152801933
temperature,spongebob,spongebob,3,cargo,true,64.0,1637152801933
temperature,spongebob,spongebob,0,cargo,true,65.0,1637153101456
temperature,spongebob,spongebob,1,cargo,true,64.0,1637153101456
temperature,spongebob,spongebob,2,cargo,true,48.0,1637153101456
temperature,spongebob,spongebob,3,cargo,true,64.0,1637153101456
temperature,spongebob,spongebob,0,cargo,true,68.0,1637153401951
temperature,spongebob,spongebob,1,cargo,true,63.0,1637153401951
temperature,spongebob,spongebob,2,cargo,true,48.0,1637153401951
temperature,spongebob,spongebob,3,cargo,true,66.0,1637153401951
temperature,spongebob,spongebob,0,cargo,true,69.0,1637153701441
temperature,spongebob,spongebob,1,cargo,true,60.0,1637153701441
temperature,spongebob,spongebob,2,cargo,true,48.0,1637153701441
temperature,spongebob,spongebob,3,cargo,true,66.0,1637153701441
temperature,spongebob,spongebob,0,cargo,true,72.0,1637154001919
temperature,spongebob,spongebob,1,cargo,true,67.0,1637154001919
temperature,spongebob,spongebob,2,cargo,true,49.0,1637154001919
temperature,spongebob,spongebob,3,cargo,true,70.0,1637154001919
temperature,spongebob,spongebob,0,cargo,true,73.0,1637154301474
temperature,spongebob,spongebob,1,cargo,true,69.0,1637154301474
temperature,spongebob,spongebob,2,cargo,true,50.0,1637154301474
temperature,spongebob,spongebob,3,cargo,true,69.0,1637154301474
temperature,spongebob,spongebob,0,cargo,true,72.0,1637154601964
temperature,spongebob,spongebob,1,cargo,true,67.0,1637154601964
temperature,spongebob,spongebob,2,cargo,true,51.0,1637154601964
temperature,spongebob,spongebob,3,cargo,true,69.0,1637154601964
temperature,spongebob,spongebob,0,cargo,true,73.0,1637154901488
temperature,spongebob,spongebob,1,cargo,true,67.0,1637154901488
temperature,spongebob,spongebob,2,cargo,true,51.0,1637154901488
temperature,spongebob,spongebob,3,cargo,true,68.0,1637154901488
temperature,spongebob,spongebob,0,cargo,true,74.0,1637155201961
temperature,spongebob,spongebob,1,cargo,true,69.0,1637155201961
temperature,spongebob,spongebob,2,cargo,true,51.0,1637155201961
temperature,spongebob,spongebob,3,cargo,true,69.0,1637155201961
